URL;ID;PRICE;OLDPRICE;BRAND;DESC;AVAIL;CAT;NAME;IMAGE;ATTRS COLOR;SIZE
https://guthastore.it/products/cali-sport-wns-37387102?variant=33209902203012;33209902203012;64.00;;;;0;;41 EU;;;41 EU
https://guthastore.it/products/jordan-1-high-og-cd0461046;4788444528772;;;AIR JORDAN;<p>Durante la sua leggendaria carriera, MJ ha lasciato un'eredità senza precedenti a livello planetario, ma ci sono dei luoghi che ha segnato in modo indelebile. Dopo aver conquistato per la prima volta la fama a Chapel Hill, dove incantò i fan vincendo un titolo nazionale, His Airness lasciò il North Carolina per inseguire il successo a livello professionistico, arrivando a Chicago per poi vincere sei campionati mondiali. Questa colorway rende omaggio al percorso di MJ mescolando i colori inconfondibili delle due gloriose comunità del basket. La base in pelle nera è rifinita con strati esterni in Powder Blue e Gym Red.</p>;;Scarpe;Jordan 1 High OG UNC To Chicago WMNS CD0461046;https://cdn.shopify.com/s/files/1/0362/4560/2436/products/image_82b3e88e-9cf8-4fd3-9884-5927cfcc2433.jpg,https://cdn.shopify.com/s/files/1/0362/4560/2436/products/jordan-1-unc-to-chicago-og-wmns-cd0461046-422190.jpg,https://cdn.shopify.com/s/files/1/0362/4560/2436/products/jordan-1-unc-to-chicago-og-wmns-cd0461046-614563.jpg,https://cdn.shopify.com/s/files/1/0362/4560/2436/products/jordan-1-unc-to-chicago-og-wmns-cd0461046-340781.jpg,https://cdn.shopify.com/s/files/1/0362/4560/2436/products/jordan-1-unc-to-chicago-og-wmns-cd0461046-444014.jpg;;Taglia
https://guthastore.it/products/jordan-1-high-og-cd0461046?variant=33209906069636;33209906069636;350.00;;;;2;;10½W US / 42.5 EU;;;10½W US / 42.5 EU
https://guthastore.it/products/jordan-1-high-og-cd0461046?variant=33209906102404;33209906102404;350.00;;;;0;;11W US / 43 EU;;;11W US / 43 EU
https://guthastore.it/products/jordan-1-high-og-cd0461046?variant=33209906135172;33209906135172;390.00;;;;1;;12W US / 44.5 EU;;;12W US / 44.5 EU
https://guthastore.it/products/jordan-1-high-og-cd0461046?variant=33209906200708;33209906200708;390.00;;;;1;;8W US / 39 EU;;;8W US / 39 EU
https://guthastore.it/products/jordan-1-high-og-cd0461046?variant=33209906233476;33209906233476;390.00;;;;1;;9W US / 40 EU;;;9W US / 40 EU
https://guthastore.it/products/jordan-1-high-og-cd0461046?variant=33209906266244;33209906266244;390.00;;;;0;;9½W US / 41 EU;;;9½W US / 41 EU
https://guthastore.it/products/jordan-1-mid-milan-cv30440;4788444692612;;;AIR JORDAN;<p>Air Jordan 1 Mid mantiene il fascino senza tempo dell'OG e lo rinnova con colori freschi e materiali di prima qualità. Costruito con un'unità Air leggera nella suola e linee di design classico, cattura l'essenza dell'originale attraverso l'obiettivo di una moderna capitale della moda. ;;;;;;
La vera pelle e il tessuto offrono resistenza e supporto leggeri con un look esclusivo. Il design mid-top con collo imbottito offre supporto alla caviglia e più spazio per sfoggiare le iconiche linee di design. Un'unità Air interna nel tallone offre un'ammortizzazione leggera con una sensazione elastica. La costruzione della suola fornisce una base stabile e duratura per il tuo piede.</p>;;Scarpe;Jordan 1 Mid Milan CV30440;https://cdn.shopify.com/s/files/1/0362/4560/2436/products/image_4393cb7a-a3b3-43fa-9577-21a5caff33a3.jpg;;Taglia;;;;;
https://guthastore.it/products/jordan-1-mid-milan-cv30440?variant=33209906757764;33209906757764;420.00;;;;0;;10 US / 44 EU;;;10 US / 44 EU
https://guthastore.it/products/jordan-1-mid-milan-cv30440?variant=33209906790532;33209906790532;420.00;;;;1;;11 US / 45 EU;;;11 US / 45 EU
https://guthastore.it/products/jordan-1-mid-milan-cv30440?variant=33209906823300;33209906823300;420.00;;;;0;;8 US / 41 EU;;;8 US / 41 EU
https://guthastore.it/products/jordan-1-mid-milan-cv30440?variant=33209906856068;33209906856068;420.00;;;;0;;8½ US / 42 EU;;;8½ US / 42 EU
https://guthastore.it/products/jordan-1-mid-milan-cv30440?variant=33397041987716;33397041987716;420.00;;;;0;;7 US/ 40 EU;;;7 US/ 40 EU
https://guthastore.it/products/jordan-1-mid-milan-cv30440?variant=33409426587780;33409426587780;420.00;;;;0;;7.5 US / 40.5 EU;;;7.5 US / 40.5 EU
https://guthastore.it/products/jordan-1-retro-og-030;4788444987524;;;AIR JORDAN;<span>Nata dalla Air Jordan 1 in Pine Green ispirata alla Black Toe del 2018, la nuova AJ1 fa esattamente questo, riproponendo i blocchi di colore allo stesso modo della Bred originale. Quest'anno, una nuova pelle martellata in Pine Green avvolge il tallone, il collare, la punta e lo Swoosh. Il nero della pelle martellata e dei lacci si contrappone nel classico effetto a contrasto con l'intersuola bianca, mentre il marchio Nike Air rosso sulla linguetta mantiene lo stile saldamente ancorato alla tradizione. A completare questo nuovo look, che resta fedele al suo stile, un paio di ali Air Jordan nere applicate al tallone</span>;;Scarpe;Jordan 1 Retro HIgh OG Pine Green Black 555088030;https://cdn.shopify.com/s/files/1/0362/4560/2436/products/image_e76ede62-2d29-4f95-9590-37b2d828e79b.jpg;;Taglia
https://guthastore.it/products/jordan-1-retro-og-030?variant=33209907445892;33209907445892;400.00;;;;1;;10 US/ 44 EU;;;10 US/ 44 EU
https://guthastore.it/products/jordan-1-retro-og-030?variant=33209907478660;33209907478660;400.00;;;;0;;10½ US/ 44.5 EU;;;10½ US/ 44.5 EU
https://guthastore.it/products/jordan-1-retro-og-030?variant=33209907511428;33209907511428;400.00;;;;0;;8½ US/ 42 EU;;;8½ US/ 42 EU
https://guthastore.it/products/jordan-1-retro-og-030?variant=33209907544196;33209907544196;400.00;;;;0;;9 US / 42.5 EU;;;9 US / 42.5 EU
https://guthastore.it/products/jordan-1-retro-og-030?variant=33209907576964;33209907576964;400.00;;;;0;;9½ US/ 43 EU;;;9½ US/ 43 EU
https://guthastore.it/products/jordan-3-chicago-usava;4788445085828;;;AIR JORDAN;;;Scarpe;JORDAN 3 RETRO UNITE CHICAGO EXCLUSIVE CU2277600;https://cdn.shopify.com/s/files/1/0362/4560/2436/products/jordan-3-retro-unite-chi-exclusive-cu2277600-700269.jpg,https://cdn.shopify.com/s/files/1/0362/4560/2436/products/jordan-3-retro-unite-chi-exclusive-cu2277600-370921.jpg;;Taglia
